ProductID,SKU,ProductName,Category,Subcategory,Brand,UnitCost,ListPrice,LaunchYear,ActiveFlag
P2116,RM-2116,Fútbol 04,Deportes,Fútbol,ActiveGo,358.01,743.9,2024,1
P2117,RM-2117,Fútbol 05,Deportes,Fútbol,Genérica,41.82,84.2,2023,0
P2118,RM-2118,Fútbol 06,Deportes,Fútbol,OfficePro,45.65,65.15,2020,1
P2119,RM-2119,Fútbol 07,Deportes,Fútbol,CasaPlus,363.73,763.08,2020,1
P2120,RM-2120,Fútbol 08,Deportes,Fútbol,NovaTech,113.2,199.5,2022,0
P2121,RM-2121,Ciclismo 01,Deportes,Ciclismo,NovaTech,207.12,417.78,2024,0
P2122,RM-2122,Ciclismo 02,Deportes,Ciclismo,CasaPlus,324.38,681.62,2022,1
P2123,RM-2123,Ciclismo 03,Deportes,Ciclismo,ActiveGo,112.82,175.11,2024,1
P2124,RM-2124,Ciclismo 04,Deportes,Ciclismo,NovaTech,351.18,475.69,2020,1
P2125,RM-2125,Ciclismo 05,Deportes,Ciclismo,Genérica,235.01,344.65,2019,0
P2126,RM-2126,Ciclismo 06,Deportes,Ciclismo,CasaPlus,413.19,684.14,2019,1
P2127,RM-2127,Ciclismo 07,Deportes,Ciclismo,CasaPlus,361.43,732.66,2024,0
P2128,RM-2128,Ciclismo 08,Deportes,Ciclismo,FunBox,269.57,557.39,2022,0
P2129,RM-2129,Educativos 01,Juguetes,Educativos,Genérica,401.84,504.95,2022,0
P2130,RM-2130,Educativos 02,Juguetes,Educativos,ActiveGo,404.15,701.29,2024,1
P2131,RM-2131,Educativos 03,Juguetes,Educativos,ActiveGo,119.6,196.93,2020,1
P2132,RM-2132,Educativos 04,Juguetes,Educativos,FunBox,220.13,321.61,2020,1
P2133,RM-2133,Educativos 05,Juguetes,Educativos,ActiveGo,38.56,52.59,2021,1
P2134,RM-2134,Educativos 06,Juguetes,Educativos,OfficePro,153.79,241.56,2023,1
P2135,RM-2135,Educativos 07,Juguetes,Educativos,CasaPlus,71.27,152.93,2022,1
P2136,RM-2136,Educativos 08,Juguetes,Educativos,Genérica,99.42,154.8,2022,1
P2137,RM-2137,Construcción 01,Juguetes,Construcción,OfficePro,246.0,428.74,2022,1
P2138,RM-2138,Construcción 02,Juguetes,Construcción,CasaPlus,375.47,720.1,2022,0
P2139,RM-2139,Construcción 03,Juguetes,Construcción,Genérica,12.71,20.28,2023,1
P2140,RM-2140,Construcción 04,Juguetes,Construcción,ActiveGo,6.63,14.41,2021,1
P2141,RM-2141,Construcción 05,Juguetes,Construcción,ActiveGo,384.64,832.49,2022,0
P2142,RM-2142,Construcción 06,Juguetes,Construcción,Genérica,331.65,493.89,2023,1
P2143,RM-2143,Construcción 07,Juguetes,Construcción,ActiveGo,101.86,175.44,2022,1
P2144,RM-2144,Construcción 08,Juguetes,Construcción,NovaTech,177.43,272.5,2024,1
P2145,RM-2145,Muñecas 01,Juguetes,Muñecas,Genérica,77.61,118.01,2022,1
P2146,RM-2146,Muñecas 02,Juguetes,Muñecas,FunBox,242.22,311.26,2022,0
P2147,RM-2147,Muñecas 03,Juguetes,Muñecas,FunBox,299.7,548.18,2019,1
P2148,RM-2148,Muñecas 04,Juguetes,Muñecas,CasaPlus,390.62,674.81,2020,1
P2149,RM-2149,Muñecas 05,Juguetes,Muñecas,OfficePro,173.08,224.81,2020,1
P2150,RM-2150,Muñecas 06,Juguetes,Muñecas,OfficePro,154.53,234.07,2022,1
P2151,RM-2151,Muñecas 07,Juguetes,Muñecas,ActiveGo,116.51,246.17,2019,1
P2152,RM-2152,Muñecas 08,Juguetes,Muñecas,NovaTech,338.06,499.51,2019,1
P2153,RM-2153,Videojuegos 01,Juguetes,Videojuegos,CasaPlus,293.96,407.91,2024,1
P2154,RM-2154,Videojuegos 02,Juguetes,Videojuegos,NovaTech,427.53,733.21,2020,1
P2155,RM-2155,Videojuegos 03,Juguetes,Videojuegos,FunBox,71.96,157.33,2020,1
P2156,RM-2156,Videojuegos 04,Juguetes,Videojuegos,Genérica,55.02,81.43,2020,1
P2157,RM-2157,Videojuegos 05,Juguetes,Videojuegos,Genérica,118.28,223.38,2021,1
P2158,RM-2158,Videojuegos 06,Juguetes,Videojuegos,FunBox,274.83,542.39,2024,1
P2159,RM-2159,Videojuegos 07,Juguetes,Videojuegos,CasaPlus,434.27,640.88,2019,0
P2160,RM-2160,Videojuegos 08,Juguetes,Videojuegos,NovaTech,418.28,812.22,2023,1
